brightness,assaults,threatofviolence,breakandenter,theft,crimerate,crime severity,population
3,47,33,9,308,59.34862734,less safe,9587.416348
6,32,16,14,67,29.32970891,safe,7330.451205
0,15,12,5,17,12.4253354,safe,6921.34234
914,11,13,20,172,57.34462672,less safe,5144.335518
48,14,14,8,37,29.56831994,safe,4396.597448
460,64,38,34,237,46.11543844,less safe,13054.19661
4,23,18,4,44,18.35001322,safe,8991.819135
0,17,16,14,99,25.44285601,safe,8725.435538
0,17,19,17,58,25.24476803,safe,7090.578127
0,5,8,5,29,19.34204271,safe,4446.272883
2,32,22,18,52,10.98420611,safe,25309.06623
0,36,30,24,115,51.38143302,risk,6597.714001
0,21,23,10,46,15.58880299,safe,13086.31587
0,339,125,105,822,298.9765094,highrisk,6843.347005
2,20,17,8,34,14.09049679,safe,10858.38223
17,35,37,15,52,37.73868457,less safe,7737.418601
0,12,12,3,120,165.7593088,highrisk,1339.291299
6,109,73,54,103,45.35694488,less safe,12566.98399
0,26,17,31,289,52.79862872,risk,9602.522116
29,6,7,10,20,13.6923988,safe,6792.089637
32,51,44,26,420,56.53873485,risk,13212.18103
0,23,16,16,59,23.82637991,safe,7764.503073
2,349,283,263,1665,202.4896285,highrisk,32110.28657
0,15,17,8,27,14.70947634,safe,10197.50782
197,17,24,16,89,22.24112045,safe,11779.98207
0,32,31,15,296,46.84611698,less safe,11078.82645
1,5,7,4,12,13.80467283,safe,4780.989799
0,55,36,33,530,82.75803537,risk,10572.99145
0,73,24,22,175,44.80561617,less safe,10579.03095
0,5,3,1,2,12.5755683,safe,2306.058805
11,48,44,22,126,24.02624587,safe,15732.79496
0,1,1,6,1,4.508322492,safe,3992.615886
0,1,4,4,22,11.9691111,safe,4260.968052
2,5,2,10,8,12.75654438,safe,4311.512458
8,4,7,3,8,7.546062843,safe,6625.971853
86,40,31,30,290,128.9565229,highrisk,5102.494898
24,5,2,24,39,26.62534897,safe,4244.075829
0,29,25,33,265,44.20067734,less safe,13144.59495
0,21,10,4,11,19.17580787,safe,5319.202229
32,35,40,16,87,18.76556329,safe,18384.73989
83,13,7,19,51,18.15677816,safe,11180.39766
0,4,5,5,11,9.107320577,safe,4282.269375
0,45,43,56,441,60.02011119,risk,13878.68139
244,42,27,10,131,28.40241615,safe,11513.10502
13,10,12,20,34,12.85319935,safe,10814.42808
1,65,20,10,68,296.1671173,highrisk,1634.212483
0,29,17,10,20,16.73535922,safe,10038.62527
0,52,17,22,38,33.61145644,safe,7199.926027
0,58,36,57,402,63.54225583,risk,11834.64437
0,9,9,6,35,52.38095238,risk,2940
39,26,18,15,56,20.11433366,safe,11136.33709
0,22,12,10,38,18.86275004,safe,8323.282643
0,7,9,18,41,128.7589123,highrisk,1118.369187
2,20,12,6,53,22.31825323,safe,7841.115442
0,12,6,9,174,46.69783193,less safe,6081.652794
0,24,9,13,74,32.68966329,less safe,6301.686198
0,6,12,21,71,33.06846157,less safe,5806.136449
120,36,19,39,173,22.33761621,safe,18623.29427
613,36,24,11,105,23.53586905,safe,12236.64184
24,4,0,2,2,6.272621322,risk,2072.498774
0,27,24,38,157,36.36601588,less safe,10449.31623
0,11,3,2,17,72.59849165,risk,661.1707614
19,90,55,21,133,39.57091434,less safe,13090.42282
4,4,12,32,63,38.67030112,less safe,4990.910192
0,84,66,53,597,173.0609213,highrisk,7298.008068
0,32,12,20,54,64.60314959,risk,3250.615509
51,12,7,22,37,12.77974112,safe,12989.3085
0,3,4,0,2,9.145860052,safe,2077.442678
0,17,6,15,41,41.56882686,less safe,2838.665628
14,9,8,6,12,11.06516634,safe,6416.53255
1,6,6,2,4,8.005419554,safe,4996.615072
123,10,5,7,21,19.14744572,safe,5797.117882
3,7,3,12,10,13.52737118,safe,5396.466099
37,54,40,22,101,16.40840743,safe,25109.07909
107,40,31,22,43,12.43645948,safe,20423.81921
117,24,13,16,51,22.13024963,safe,9308.525814
3,12,7,14,41,26.03615368,safe,5953.260297
0,3,1,2,7,179.3321748,highrisk,144.9823493
26,14,14,14,61,16.39430849,safe,10979.42009
4,7,5,8,15,13.48179131,safe,5711.407201
6,224,116,78,993,101.598339,highrisk,19960.95625
0,21,7,9,14,32.06191266,less safe,3618
0,18,17,7,29,22.6692542,safe,6749.229536
53,8,4,7,10,10.74797921,safe,6698.93369
64,37,26,25,282,25.76754717,safe,22586.55029
0,18,18,3,24,25.24001648,safe,4318.539178
1,34,5,8,57,14.69690405,safe,12655.72663
35,13,13,25,37,16.63420008,safe,9618.737256
0,8,15,16,64,15.5404471,safe,12869.6426
11,20,1,4,26,18.79031094,safe,5002.578206
117,24,29,38,123,18.98723373,safe,18170.10339
0,45,15,6,48,70.20921176,risk,3105.005662
1,0,4,19,35,47.28826252,less safe,1818.633111
0,18,11,11,56,19.91809324,safe,10442.76666
0,183,117,121,1122,127.3477179,risk,5834.808459
0,18,25,24,131,51.07279906,risk,4837.397685
36,27,29,12,252,94.26555964,safe,41575.23257
0,61,65,46,239,16.33183889,safe,19372.32951
0,27,16,35,99,15.53762545,safe,5499.186494
0,7,12,10,51,27.45860686,safe,4806.178954
1,11,9,2,19,16.64523955,risk,11936.53509
0,114,79,88,268,72.80169608,highrisk,7657.057061
0,85,64,37,407,115.1878578,safe,2963.429401
64,4,2,9,10,17.20979078,safe,4260.193055
0,14,4,4,24,14.78806223,risk,12992.32866
0,98,53,114,468,82.04841705,risk,14228.89945
0,52,44,65,624,70.98229936,less safe,12603.68761
0,74,55,47,123,37.05264796,safe,8103.639129
