brightness,assaults,threatofviolence,breakandenter,theft,population,crime severity,crimerate
3,47,33,9,308,9587.416348,less safe,59.34862734
6,32,16,14,67,7330.451205,safe,29.32970891
0,15,12,5,17,6921.34234,safe,12.4253354
914,11,13,20,172,5144.335518,less safe,57.34462672
48,14,14,8,37,4396.597448,safe,29.56831994
460,64,38,34,237,13054.19661,less safe,46.11543844
4,23,18,4,44,8991.819135,safe,18.35001322
0,17,16,14,99,8725.435538,safe,25.44285601
0,17,19,17,58,7090.578127,safe,25.24476803
0,5,8,5,29,4446.272883,safe,19.34204271
2,32,22,18,52,25309.06623,safe,10.98420611
0,36,30,24,115,6597.714001,risk,51.38143302
0,21,23,10,46,13086.31587,safe,15.58880299
0,339,125,105,822,6843.347005,highrisk,298.9765094
2,20,17,8,34,10858.38223,safe,14.09049679
17,35,37,15,52,7737.418601,less safe,37.73868457
0,12,12,3,120,1339.291299,highrisk,165.7593088
6,109,73,54,103,12566.98399,less safe,45.35694488
0,26,17,31,289,9602.522116,risk,52.79862872
29,6,7,10,20,6792.089637,safe,13.6923988
32,51,44,26,420,13212.18103,risk,56.53873485
0,23,16,16,59,7764.503073,safe,23.82637991
2,349,283,263,1665,32110.28657,highrisk,202.4896285
0,15,17,8,27,10197.50782,safe,14.70947634
197,17,24,16,89,11779.98207,safe,22.24112045
0,32,31,15,296,11078.82645,less safe,46.84611698
1,5,7,4,12,4780.989799,safe,13.80467283
0,55,36,33,530,10572.99145,risk,82.75803537
0,73,24,22,175,10579.03095,less safe,44.80561617
0,5,3,1,2,2306.058805,safe,12.5755683
11,48,44,22,126,15732.79496,safe,24.02624587
0,1,1,6,1,3992.615886,safe,4.508322492
0,1,4,4,22,4260.968052,safe,11.9691111
2,5,2,10,8,4311.512458,safe,12.75654438
8,4,7,3,8,6625.971853,safe,7.546062843
86,40,31,30,290,5102.494898,highrisk,128.9565229
24,5,2,24,39,4244.075829,safe,26.62534897
0,29,25,33,265,13144.59495,less safe,44.20067734
0,21,10,4,11,5319.202229,safe,19.17580787
32,35,40,16,87,18384.73989,safe,18.76556329
83,13,7,19,51,11180.39766,safe,18.15677816
0,4,5,5,11,4282.269375,safe,9.107320577
0,45,43,56,441,13878.68139,risk,60.02011119
244,42,27,10,131,11513.10502,safe,28.40241615
13,10,12,20,34,10814.42808,safe,12.85319935
1,65,20,10,68,1634.212483,highrisk,296.1671173
0,29,17,10,20,10038.62527,safe,16.73535922
0,52,17,22,38,7199.926027,safe,33.61145644
0,58,36,57,402,11834.64437,risk,63.54225583
0,9,9,6,35,2940,risk,52.38095238
39,26,18,15,56,11136.33709,safe,20.11433366
0,22,12,10,38,8323.282643,safe,18.86275004
0,7,9,18,41,1118.369187,highrisk,128.7589123
2,20,12,6,53,7841.115442,safe,22.31825323
0,12,6,9,174,6081.652794,less safe,46.69783193
0,24,9,13,74,6301.686198,less safe,32.68966329
0,6,12,21,71,5806.136449,less safe,33.06846157
120,36,19,39,173,18623.29427,safe,22.33761621
613,36,24,11,105,12236.64184,safe,23.53586905
24,4,0,2,2,2072.498774,risk,6.272621322
0,27,24,38,157,10449.31623,less safe,36.36601588
0,11,3,2,17,661.1707614,risk,72.59849165
19,90,55,21,133,13090.42282,less safe,39.57091434
4,4,12,32,63,4990.910192,less safe,38.67030112
0,84,66,53,597,7298.008068,highrisk,173.0609213
0,32,12,20,54,3250.615509,risk,64.60314959
51,12,7,22,37,12989.3085,safe,12.77974112
0,3,4,0,2,2077.442678,safe,9.145860052
0,17,6,15,41,2838.665628,less safe,41.56882686
14,9,8,6,12,6416.53255,safe,11.06516634
1,6,6,2,4,4996.615072,safe,8.005419554
123,10,5,7,21,5797.117882,safe,19.14744572
3,7,3,12,10,5396.466099,safe,13.52737118
37,54,40,22,101,25109.07909,safe,16.40840743
107,40,31,22,43,20423.81921,safe,12.43645948
117,24,13,16,51,9308.525814,safe,22.13024963
3,12,7,14,41,5953.260297,safe,26.03615368
0,3,1,2,7,144.9823493,highrisk,179.3321748
26,14,14,14,61,10979.42009,safe,16.39430849
4,7,5,8,15,5711.407201,safe,13.48179131
6,224,116,78,993,19960.95625,highrisk,101.598339
0,21,7,9,14,3618,less safe,32.06191266
0,18,17,7,29,6749.229536,safe,22.6692542
53,8,4,7,10,6698.93369,safe,10.74797921
64,37,26,25,282,22586.55029,safe,25.76754717
0,18,18,3,24,4318.539178,safe,25.24001648
1,34,5,8,57,12655.72663,safe,14.69690405
35,13,13,25,37,9618.737256,safe,16.63420008
0,8,15,16,64,12869.6426,safe,15.5404471
11,20,1,4,26,5002.578206,safe,18.79031094
117,24,29,38,123,18170.10339,safe,18.98723373
0,45,15,6,48,3105.005662,risk,70.20921176
1,0,4,19,35,1818.633111,less safe,47.28826252
0,18,11,11,56,10442.76666,safe,19.91809324
0,183,117,121,1122,5834.808459,risk,127.3477179
0,18,25,24,131,4837.397685,risk,51.07279906
36,27,29,12,252,41575.23257,safe,94.26555964
0,61,65,46,239,19372.32951,safe,16.33183889
0,27,16,35,99,5499.186494,safe,15.53762545
0,7,12,10,51,4806.178954,safe,27.45860686
1,11,9,2,19,11936.53509,risk,16.64523955
0,114,79,88,268,7657.057061,highrisk,72.80169608
0,85,64,37,407,2963.429401,safe,115.1878578
64,4,2,9,10,4260.193055,safe,17.20979078
0,14,4,4,24,12992.32866,risk,14.78806223
0,98,53,114,468,14228.89945,risk,82.04841705
0,52,44,65,624,12603.68761,less safe,70.98229936
0,74,55,47,123,8103.639129,safe,37.05264796
