brightness,assaults,threatofviolence,breakandenter,theft,crimerate,crime severity,neighbourhoodd
3,47,33,9,308,59.34862734,less safe,Bayshore
6,32,16,14,67,29.32970891,safe,Beacon Hill South 
0,15,12,5,17,12.4253354,safe,Beaverbrook
914,11,13,20,172,57.34462672,less safe,Bells Corners East
48,14,14,8,37,29.56831994,safe,Bells Corners West
460,64,38,34,237,46.11543844,less safe,Billings Bridge
4,23,18,4,44,18.35001322,safe,Blackburn Hamlet
0,17,16,14,99,25.44285601,safe,Borden Farm
0,17,19,17,58,25.24476803,safe,Braemar Park
0,5,8,5,29,19.34204271,safe,Briar Green
2,32,22,18,52,10.98420611,safe,Bridlewood
0,36,30,24,115,51.38143302,risk,Britannia Village
0,21,23,10,46,15.58880299,safe,Brookside
0,339,125,105,822,298.9765094,highrisk,Byward Market
2,20,17,8,34,14.09049679,safe,Cardinal Creek
17,35,37,15,52,37.73868457,less safe,Carleton Heights 
0,12,12,3,120,165.7593088,highrisk,Carleton University
6,109,73,54,103,45.35694488,less safe,Carlington
0,26,17,31,289,52.79862872,risk,Carlingwood West 
29,6,7,10,20,13.6923988,safe,Carp
32,51,44,26,420,56.53873485,risk,Carson Grove
0,23,16,16,59,23.82637991,safe,Centrepointe
2,349,283,263,1665,202.4896285,highrisk,Centretown
0,15,17,8,27,14.70947634,safe,Chapel Hill North
197,17,24,16,89,22.24112045,safe,Chapel Hill South
0,32,31,15,296,46.84611698,less safe,Chapman Mills
1,5,7,4,12,13.80467283,safe,Chatelaine Village
0,55,36,33,530,82.75803537,risk,Cityview
0,73,24,22,175,44.80561617,less safe,Civic Hospital
0,5,3,1,2,12.5755683,safe,Constance Bay
11,48,44,22,126,24.02624587,safe,Convent Glen
0,1,1,6,1,4.508322492,safe,Corkery
0,1,4,4,22,11.9691111,safe,Crystal Bay
2,5,2,10,8,12.75654438,safe,Cumberland
8,4,7,3,8,7.546062843,safe,Dunrobin
86,40,31,30,290,128.9565229,highrisk,East Industrial
24,5,2,24,39,26.62534897,safe,Edwards
0,29,25,33,265,44.20067734,less safe,Elmvale
0,21,10,4,11,19.17580787,safe,Emerald Woods
32,35,40,16,87,18.76556329,safe,Fallingbrook
83,13,7,19,51,18.15677816,safe,Findlay Creek
0,4,5,5,11,9.107320577,safe,Fitzroy
0,45,43,56,441,60.02011119,risk,Glebe
244,42,27,10,131,28.40241615,safe,Glen Cairn
13,10,12,20,34,12.85319935,safe,Greely
1,65,20,10,68,296.1671173,highrisk,Greenbelt
0,29,17,10,20,16.73535922,safe,Greenboro East
0,52,17,22,38,33.61145644,safe,Hawthorne Meadows
0,58,36,57,402,63.54225583,risk,Hintonburg 
0,9,9,6,35,52.38095238,risk,Hunt Club
39,26,18,15,56,20.11433366,safe,Hunt Club East
0,22,12,10,38,18.86275004,safe,Hunt Club Park
0,7,9,18,41,128.7589123,highrisk,Hunt Club South Industrial
2,20,12,6,53,22.31825323,safe,Hunt Club Upper
0,12,6,9,174,46.69783193,less safe,Hunt Club Woods 
0,24,9,13,74,32.68966329,less safe,Iris 
0,6,12,21,71,33.06846157,less safe,Island Park 
120,36,19,39,173,22.33761621,safe,Kanata Lakes
613,36,24,11,105,23.53586905,safe,Kanata-Katimavik
24,4,0,2,2,6.272621322,risk,Kinburn
0,27,24,38,157,36.36601588,less safe,Laurentian
0,11,3,2,17,72.59849165,risk,Lebreton
19,90,55,21,133,39.57091434,less safe,Ledbury 
4,4,12,32,63,38.67030112,less safe,Lindenlea
0,84,66,53,597,173.0609213,highrisk,Lowertown
0,32,12,20,54,64.60314959,risk,Manor Park
51,12,7,22,37,12.77974112,safe,Manotick
0,3,4,0,2,9.145860052,safe,Marlborough
0,17,6,15,41,41.56882686,less safe,Merivale Gardens 
14,9,8,6,12,11.06516634,safe,Metcalfe
1,6,6,2,4,8.005419554,safe,Munster
123,10,5,7,21,19.14744572,safe,Navan
3,7,3,12,10,13.52737118,safe,North Gower 
37,54,40,22,101,16.40840743,safe,Old Barrhaven East
107,40,31,22,43,12.43645948,safe,Old Barrhaven West
117,24,13,16,51,22.13024963,safe,Old Ottawa East
3,12,7,14,41,26.03615368,safe,Old Ottawa South
0,3,1,2,7,179.3321748,highrisk,Orléans Industrial
26,14,14,14,61,16.39430849,safe,Orléans Village 
4,7,5,8,15,13.48179131,safe,Osgoode
6,224,116,78,993,101.598339,highrisk,Overbrook
0,21,7,9,14,32.06191266,less safe,Parkwood Hills
0,18,17,7,29,22.6692542,safe,Pineview
53,8,4,7,10,10.74797921,safe,Playfair Park
64,37,26,25,282,25.76754717,safe,Portobello South
0,18,18,3,24,25.24001648,safe,Qualicum
1,34,5,8,57,14.69690405,safe,Queenswood Heights
35,13,13,25,37,16.63420008,safe,Richmond
0,8,15,16,64,15.5404471,safe,Rideau Crest
11,20,1,4,26,18.79031094,safe,Riverside Park
117,24,29,38,123,18.98723373,safe,Riverside South
0,45,15,6,48,70.20921176,risk,Riverview
1,0,4,19,35,47.28826252,less safe,Rockcliffe Park
0,18,11,11,56,19.91809324,safe,Rothwell Heights
0,183,117,121,1122,127.3477179,risk,Skyline - Fisher Heights
0,18,25,24,131,51.07279906,risk,South Keys
36,27,29,12,252,94.26555964,safe,Stittsville
0,61,65,46,239,16.33183889,safe,Stonebridge
0,27,16,35,99,15.53762545,safe,Tanglewood
0,7,12,10,51,27.45860686,safe,Trend-Arlington
1,11,9,2,19,16.64523955,risk,Vanier North
0,114,79,88,268,72.80169608,highrisk,Vanier South
0,85,64,37,407,115.1878578,safe,Vars
64,4,2,9,10,17.20979078,safe,Wateridge Village
0,14,4,4,24,14.78806223,risk,West Centretown
0,98,53,114,468,82.04841705,risk,Westboro
0,52,44,65,624,70.98229936,less safe,Whitehaven 
0,74,55,47,123,37.05264796,safe,Woodvale 
