year,light_type,Bracket Length,Pole Height,Pole Type,light_number,Light Source,wattage,Street Name,neighbourhood
2019,SL,1.8,0,WOOD,1,LED,68,DONALD B. MUNRO DRIVE,Carp
2020,SL,1.8,9.1,MADISON,1,HPS,100,BRADBURY COURT,Kanata-Katimavik-Hazeldean
2018,SL,1.8,0,WOOD,1,LED,92,KINBURN SIDE ROAD,Kinburn
2018,SL,3,0,WOOD,1,LED,64,LOGGERS WAY,Kinburn
2018,SL,2.4,10.7,NEWPORT,1,LED,92,KINBURN SIDE ROAD,Kinburn
2018,SL,2.4,0,WOOD,1,LED,64,KINBURN SIDE ROAD,Kinburn
2018,SL,3,0,WOOD,1,LED,92,LOGGERS WAY,Kinburn
2018,SL,3,0,WOOD,1,LED,64,LOGGERS WAY,Kinburn
2018,SL,3,0,WOOD,1,LED,64,KINBURN SIDE ROAD,Kinburn
2018,SL,3,0,WOOD,1,LED,64,KINBURN SIDE ROAD,Kinburn
2018,SL,3,0,WOOD,1,LED,143,KINBURN SIDE ROAD,Kinburn
2018,SL,3,0,WOOD,1,LED,143,KINBURN SIDE ROAD,Kinburn
2017,SL,2.4,0,WOOD,1,HPS,100,CARP ROAD,Carp
2017,SL,2.4,9.1,HAMPTON,1,HPS,100,OLIVE ROAD,Windsor
2018,SL,3,0,WOOD,1,LED,64,FERNBANK ROAD,Stittsville
2020,SL,2.4,0,HAMPTON,1,LED,107,REIS ROAD,Carp
2020,SL,2.4,0,HAMPTON,1,LED,107,REIS ROAD,Carp
2020,SL,2.7,0,WOOD,1,LED,107,REIS ROAD,Carp
2019,SL,3.3,0,WOOD,1,LED,135,BAYVIEW DRIVE,Woodlawn
2019,SL,3,0,WOOD,1,LED,64,KINBURN SIDE ROAD,Kinburn
2020,SL,2.4,0,WOOD,0,LED,46,FLEWELLYN ROAD,Stittsville
2018,SL,1.8,0,WOOD,0,LED,64,SECOND LINE ROAD,Kanata-Katimavik-Hazeldean
2019,SL,2.4,0,WOOD,1,LED,46,CONSTANCE BAY ROAD,Riverside Park
2019,SL,3,10.7,HAMPTON,1,LED,46,CONSTANCE CREEK DRIVE,Dunrobin
2019,SL,3,10.7,HAMPTON,1,LED,46,CONSTANCE CREEK DRIVE,Dunrobin
2019,SL,3,9.1,HAMPTON,1,LED,46,SYNERGY WAY,Kanata-Katimavik-Hazeldean
2020,SL,3,0,WOOD,1,LED,68,NEIL AVENUE,Stittsville
2020,SL,3,0,WOOD,1,LED,68,KEATLEY ROAD,Arnprior
2017,SL,1.5,9.1,MADISON,1,HPS,150,COUNTRY MEADOW DRIVE,Carp
2017,SL,1.5,9.1,MADISON,1,HPS,150,COUNTRY MEADOW DRIVE,Carp
2017,SL,1.5,9.1,MADISON,1,HPS,150,COUNTRY MEADOW DRIVE,Carp
