,Pole ID,Install Pole Date,Install Light Date and Time,Install Light Date,Street Light installed month,Street Light installed year,Street Light installed month and year,Head Style,Refractor,Light Type,Bracket Length,Pole Height,Pole Type,Number of Lights,Light Source,Wattage,Year 1 LE,Street Name,Neighbourhood
0,H1-107313,,2019/12/16 00:00:00+00,12/16/2019,December,2019,19-Dec,GCJ220H 3K, ,SL,1.8,0,WOOD,1,LED,68,49,DONALD B. MUNRO DRIVE,Carp
1, ,2020/06/25 00:00:00+00,2020/06/25 00:00:00+00,6/25/2020,June,2020,19-Nov,COACHSTYLE, ,SL,1.8,9.1,MADISON,1,HPS,100,0,BRADBURY COURT,Kanata-Katimavik-Hazeldean
2, ,,2018/03/07 00:00:00+00,3/7/2018,March,2018,20-Jan,A02, ,SL,1.8,0,WOOD,1,LED,92,0,KINBURN SIDE ROAD,Kinburn
3, ,,2018/03/07 00:00:00+00,3/7/2018,March,2018,19-Dec,A01, ,SL,3,0,WOOD,1,LED,64,0,LOGGERS WAY,Kinburn
4, ,,2018/03/07 00:00:00+00,3/7/2018,March,2018,20-May,A02, ,SL,2.4,10.7,NEWPORT,1,LED,92,0,KINBURN SIDE ROAD,Kinburn
5, ,,2018/03/07 00:00:00+00,3/7/2018,March,2018,18-Dec,A01, ,SL,2.4,0,WOOD,1,LED,64,0,KINBURN SIDE ROAD,Kinburn
6, ,,2018/03/07 00:00:00+00,3/7/2018,March,2018,19-Dec,A02, ,SL,3,0,WOOD,1,LED,92,0,LOGGERS WAY,Kinburn
7, ,,2018/03/07 00:00:00+00,3/7/2018,March,2018,19-Dec,A01, ,SL,3,0,WOOD,1,LED,64,0,LOGGERS WAY,Kinburn
8, ,,2018/03/07 00:00:00+00,3/7/2018,March,2018,20-May,A01, ,SL,3,0,WOOD,1,LED,64,0,KINBURN SIDE ROAD,Kinburn
9, ,,2018/03/07 00:00:00+00,3/7/2018,March,2018,20-May,A01, ,SL,3,0,WOOD,1,LED,64,0,KINBURN SIDE ROAD,Kinburn
10, ,,2018/03/07 00:00:00+00,3/7/2018,March,2018,20-May,A02G, ,SL,3,0,WOOD,1,LED,143,0,KINBURN SIDE ROAD,Kinburn
11, ,,2018/03/07 00:00:00+00,3/7/2018,March,2018,18-Mar,A02G, ,SL,3,0,WOOD,1,LED,143,0,KINBURN SIDE ROAD,Kinburn
12, ,,2017/05/09 00:00:00+00,5/9/2017,May,2017,18-Nov,COBRA HEAD,DROP GLASS,SL,2.4,0,WOOD,1,HPS,100,0,CARP ROAD,Carp
13, ,2017/05/09 00:00:00+00,2017/05/09 00:00:00+00,5/9/2017,May,2017,17-Sep,COBRA HEAD,DROP GLASS,SL,2.4,9.1,HAMPTON,1,HPS,100,0,OLIVE ROAD,Windsor
14,2074816,,2018/03/20 00:00:00+00,3/20/2018,March,2018,18-Nov,A01, ,SL,3,0,WOOD,1,LED,64,57,FERNBANK ROAD,Stittsville
15,H1-108537,,2020/01/07 00:00:00+00,1/7/2020,January,2020,19-Jan,GCM240H, ,SL,2.4,0,HAMPTON,1,LED,107,87,REIS ROAD,Carp
16,H1-108538,,2020/01/07 00:00:00+00,1/7/2020,January,2020,17-Sep,GCM240H, ,SL,2.4,0,HAMPTON,1,LED,107,77,REIS ROAD,Carp
17,H1-108539,,2020/01/07 00:00:00+00,1/7/2020,January,2020,17-Sep,GCM240H, ,SL,2.7,0,WOOD,1,LED,107,77,REIS ROAD,Carp
18,H1-106025,,2019/11/11 00:00:00+00,11/11/2019,November,2019,17-Sep,GCL160G 3K, ,SL,3.3,0,WOOD,1,LED,135,122,BAYVIEW DRIVE,Woodlawn
19, ,,2019/07/18 00:00:00+00,7/18/2019,July,2019,17-Sep,A01, ,SL,3,0,WOOD,1,LED,64,0,KINBURN SIDE ROAD,Kinburn
20,2062531,,2020/01/21 00:00:00+00,1/21/2020,January,2020,18-Nov,GCJ120H 3K T3, ,SL,2.4,0,WOOD,0,LED,46,41,FLEWELLYN ROAD,Stittsville
21,131606G,,2018/01/03 00:00:00+00,1/3/2018,January,2018,17-Jun,A01, ,SL,1.8,0,WOOD,0,LED,64,57,SECOND LINE ROAD,Kanata-Katimavik-Hazeldean
22,H1-106024,,2019/11/18 00:00:00+00,11/18/2019,November,2019,17-Sep,GCJ120H 3K T3, ,SL,2.4,0,WOOD,1,LED,46,41,CONSTANCE BAY ROAD,Riverside Park
23,H1-106163,,2019/11/13 00:00:00+00,11/13/2019,November,2019,17-Oct,GCJ120H 3K T3, ,SL,3,10.7,HAMPTON,1,LED,46,41,CONSTANCE CREEK DRIVE,Dunrobin
24,H1-106162,,2019/11/13 00:00:00+00,11/13/2019,November,2019,17-May,GCJ120H 3K, ,SL,3,10.7,HAMPTON,1,LED,46,41,CONSTANCE CREEK DRIVE,Dunrobin
25,134099G,2017/11/01 00:00:00+00,2019/12/19 00:00:00+00,12/19/2019,December,2019,17-Oct,GCJ120H 3K T3, ,SL,3,9.1,HAMPTON,1,LED,46,41,SYNERGY WAY,Kanata-Katimavik-Hazeldean
26, ,2020/01/02 00:00:00+00,2020/01/02 00:00:00+00,1/2/2020,January,2020,18-Nov,LGCJ-2, ,SL,3,0,WOOD,1,LED,68,0,NEIL AVENUE,Stittsville
27, ,2020/01/02 00:00:00+00,2020/01/02 00:00:00+00,1/2/2020,January,2020,17-Oct,LGCJ-2, ,SL,3,0,WOOD,1,LED,68,0,KEATLEY ROAD,Arnprior
28, ,2017/05/01 00:00:00+00,2017/05/01 00:00:00+00,5/1/2017,May,2017,17-Aug,COACHSTYLE,FULL CUT OFF,SL,1.5,9.1,MADISON,1,HPS,150,0,COUNTRY MEADOW DRIVE,Carp
29, ,2017/05/01 00:00:00+00,2017/05/01 00:00:00+00,5/1/2017,May,2017,17-Jun,COACHSTYLE,FULL CUT OFF,SL,1.5,9.1,MADISON,1,HPS,150,0,COUNTRY MEADOW DRIVE,Carp
30, ,2017/05/01 00:00:00+00,2017/05/01 00:00:00+00,5/1/2017,May,2017,17-Oct,COACHSTYLE,FULL CUT OFF,SL,1.5,9.1,MADISON,1,HPS,150,0,COUNTRY MEADOW DRIVE,Carp
31, ,,2017/04/06 00:00:00+00,4/6/2017,April,2017,18-Nov,A01, ,SL,2.4,0,WOOD,1,LED,64,0,MARCHURST ROAD,Dunrobin
