neighbourhoodd,2015population,2015crimerate,2016population,2016crimerate,2016brightness,2017population,2017crimerate,2017brightness,2018_POP_EST,2018population,2018crimerate,2018brightness,2019population,crimerate,brightness,type,community,target
Bayshore - Belltown,9588.819027,43.07099746,9563.847363,42.86977661,0,9591.004346,57.65819512,2,9595.790066,9595.790066,60.7558102,1,9587.416348,59.34862734,0,less safe,901,1
Beacon Hill South - Cardinal Heights,7309.450919,24.48884355,7324.908613,29.62494298,1,7313.851929,33.49808041,1,7293.081718,7293.081718,29.61710952,3,7330.451205,29.32970891,1,safe,3,1
Beaverbrook,7075.238742,14.84048862,7025.402646,10.53320411,0,6985.919614,8.731849688,0,6953.040263,6953.040263,12.08104611,0,6921.34234,12.4253354,0,safe,902,1
Bells Corners East,5263.555807,32.8675151,5204.833633,36.31239984,22,5167.918201,24.9616954,337,5150.199112,5150.199112,34.17343605,89,5144.335518,57.34462672,20,less safe,5,1
Bells Corners West,4483.409974,21.63531789,4437.700093,30.19582153,5,4414.999373,30.35108019,32,4400.434412,4400.434412,36.36004654,3,4396.597448,29.56831994,8,safe,6,1
Billings Bridge - Alta Vista,12839.40404,34.65892955,12879.63037,37.03522432,0,12937.84523,46.3755741,391,12987.33332,12987.33332,55.20763828,19,13054.19661,46.11543844,50,less safe,7,1
Blackburn Hamlet,8904.723419,20.88779081,8979.020799,14.92367631,0,8979.027794,16.59422416,0,8989.014219,8989.014219,15.68581344,0,8991.819135,18.35001322,4,safe,903,1
Borden Farm - Fisher Glen,8341.245367,22.05905616,8294.355275,23.50996473,0,8539.038505,20.61121986,0,8522.30327,8522.30327,24.17186921,0,8725.435538,25.44285601,0,safe,904,1
Braemar Park - Bel Air Heights - Copeland Park,7095.256757,17.89928178,7069.682067,20.93446333,0,7079.213656,19.63494913,0,7087.631537,7087.631537,22.01017352,0,7090.578127,25.24476803,0,safe,905,1
Briar Green - Leslie Park,4554.981604,11.1965326,4502.429913,16.87977414,0,4469.191634,15.88654187,0,4450.40952,4450.40952,19.77346121,0,4446.272883,19.34204271,0,safe,11,1
Bridlewood - Emerald Meadows,24078.35492,10.34123805,24282.85153,13.87810652,0,25497.71684,8.981196295,2,25403.74711,25403.74711,9.368696632,0,25309.06623,10.98420611,0,safe,12,1
Britannia Village,6614.593139,45.80780611,6594.821116,43.97389935,0,6600.075882,41.21164739,0,6595.625217,6595.625217,49.12347038,0,6597.714001,51.38143302,0,risk,13,1
Brookside - Briarbrook - Morgan's Grant,13353.62385,14.15346142,13269.02621,11.83206646,0,13207.75327,12.71980151,0,13147.21568,13147.21568,19.24361828,0,13086.31587,15.58880299,0,safe,906,1
Byward Market,6924.770798,240.0079437,6897.089756,250.8304316,0,6905.671077,298.0159317,0,6910.660282,6910.660282,280.4363,0,6843.347005,298.9765094,0,highrisk,907,1
Cardinal Creek,10104.92365,13.26086219,10243.22303,13.76519866,2,10392.35404,12.60542121,0,10586.06327,10586.06327,15.58653069,0,10858.38223,14.09049679,0,safe,908,1
Carleton Heights - Rideauview,7729.218823,26.91086962,7699.033114,48.44764199,3,7709.363166,23.47794443,7,7717.949434,7717.949434,21.63787175,2,7737.418601,37.73868457,5,less safe,909,1
Carleton University,1348.13891,166.896748,1343.986683,170.388593,0,1349.810629,127.4252819,0,1348.969768,1348.969768,175.6896305,0,1339.291299,165.7593088,0,highrisk,16,1
Carlington,12538.7988,36.76588223,12516.26986,52.97105348,0,12511.45787,46.03780039,5,12561.12355,12561.12355,43.06939564,1,12566.98399,45.35694488,0,less safe,17,1
Carlingwood West - Glabar Park - McKellar Heights,9563.339905,26.87345661,9546.379046,32.26354186,0,9564.934199,34.60557,0,9605.009664,9605.009664,37.68866588,0,9602.522116,52.79862872,0,risk,18,1
Carp,6458.849882,13.4698904,6484.705179,15.1124835,0,6540.402468,13.14903791,18,6581.497331,6581.497331,15.95381639,5,6792.089637,13.6923988,6,safe,910,1
Carson Grove - Carson Meadows,12545.1553,36.26898107,12887.71134,40.27092058,1,12865.27168,51.30089877,16,12826.76365,12826.76365,45.91961122,8,13212.18103,56.53873485,7,risk,911,1
Centrepointe,7936.540121,17.38792949,7859.252468,17.94063756,0,7809.235812,18.3116509,0,7776.188223,7776.188223,19.93264509,0,7764.503073,23.82637991,0,safe,912,0
Centretown,30774.28482,123.6746856,31403.11754,128.2993638,0,31889.83608,139.6996833,2,31799.17682,31799.17682,184.375842,0,32110.28657,202.4896285,0,highrisk,23,0
Chapel Hill North,10367.17935,10.12811648,10294.38776,13.40536254,0,10308.90165,11.34941471,0,10248.62187,10248.62187,11.41616907,0,10197.50782,14.70947634,0,safe,24,0
Chapel Hill South,9754.110541,20.4016552,10236.66458,22.07750368,10,10617.95804,16.76405194,108,11065.69726,11065.69726,17.80276429,35,11779.98207,22.24112045,44,safe,913,0
Chapman Mills,10977.12063,29.51593691,10985.06552,33.59106046,0,11038.71903,32.34070902,0,11095.68454,11095.68454,40.4661829,0,11078.82645,46.84611698,0,less safe,75,0
Chatelaine Village,4531.11694,12.57967975,4505.576182,13.31683176,0,4590.644653,20.25859265,0,4557.623385,4557.623385,13.38416864,0,4780.989799,13.80467283,1,safe,914,0
Cityview - Crestview - Meadowlands,10264.65823,51.14636924,10476.59696,63.7611624,0,10506.09978,66.62796041,0,10520.43673,10520.43673,72.62055932,0,10572.99145,82.75803537,0,risk,76,0
Civic Hospital-Central Park,10607.42953,38.93497468,10577.17807,53.60598035,0,10572.30894,40.10476825,0,10565.53994,10565.53994,40.31975672,0,10579.03095,44.80561617,0,less safe,31,0
Constance Bay,2342.8265,23.47591681,2332.271566,24.43969254,0,2317.654588,17.25882718,0,2315.704733,2315.704733,19.00069529,0,2306.058805,12.5755683,0,safe,28,0
Convent Glen - Orléans Woods,16093.35911,15.84504504,16000.34926,18.68709209,3,15894.72345,20.00663937,4,15820.82677,15820.82677,19.84725606,0,15732.79496,24.02624587,4,safe,29,0
Corkery,3836.953079,10.685562,3823.225384,6.277422226,0,3857.55485,8.813873379,0,3901.230888,3901.230888,10.76583294,0,3992.615886,4.508322492,0,safe,915,0
Crystal Bay - Lakeview Park,4176.099995,11.97289338,4169.772435,13.42998949,0,4188.32524,9.550356695,0,4215.395609,4215.395609,13.52186255,0,4260.968052,11.9691111,0,safe,30,0
Cumberland,4274.712951,12.63242716,4298.205176,10.236831,0,4321.621935,16.66041155,1,4324.101167,4324.101167,11.79435865,1,4311.512458,12.75654438,0,safe,32,0
Dunrobin,6625.213269,13.88634543,6624.462263,8.604471992,0,6618.180888,5.590660127,3,6559.430082,6559.430082,7.775065725,1,6625.971853,7.546062843,4,safe,916,0
East Industrial,5091.451759,128.2541858,5098.456711,108.0719189,10,5079.45109,108.6731598,13,5090.652362,5090.652362,123.3633639,24,5102.494898,128.9565229,39,highrisk,35,0
Edwards - Carlsbad Springs,4116.278931,26.23728902,4115.917079,24.29592192,7,4109.200173,22.87549792,10,4118.297545,4118.297545,29.86671037,4,4244.075829,26.62534897,3,safe,917,0
Elmvale - Canterbury,13053.32223,32.5587611,13108.51011,26.62392576,0,13086.30296,32.47670495,0,13120.07184,13120.07184,36.66138463,0,13144.59495,44.20067734,0,less safe,918,0
Emerald Woods - Sawmill Creek,5313.782044,18.63079802,5311.008932,20.71169554,0,5298.427719,23.7806396,0,5312.437798,5312.437798,19.38846231,0,5319.202229,19.17580787,0,safe,919,0
Fallingbrook,18767.96578,15.6649902,18671.35536,15.3175811,9,18567.87228,11.36371453,4,18475.33141,18475.33141,13.42330454,3,18384.73989,18.76556329,16,safe,38,0
Findlay Creek,8350.034406,16.16759805,8631.291426,11.58575178,4,9106.396962,17.0210019,54,9905.930276,9905.930276,15.74814234,11,11180.39766,18.15677816,14,safe,920,0
Fitzroy,4325.626957,7.860132263,4308.180364,5.10656429,0,4293.798315,6.521032881,0,4289.247105,4289.247105,11.19077517,0,4282.269375,9.107320577,0,safe,921,0
Glebe - Dows Lake,13883.50276,43.00067572,13862.84639,44.43531888,0,13957.51998,49.79394627,0,14002.42445,14002.42445,66.05998865,0,13878.68139,60.02011119,0,risk,922,0
Glen Cairn - Kanata South Business Park,11293.25311,24.43937078,11354.28275,31.88224284,27,11409.79502,28.48429787,103,11564.92365,11564.92365,28.44809097,42,11513.10502,28.40241615,72,safe,923,0
Greely,10382.45846,13.96586372,10447.75793,14.64429029,0,10568.08091,12.49044184,9,10713.57046,10713.57046,15.214349,1,10814.42808,12.85319935,3,safe,924,0
Greenbelt,1624.73666,135.4065587,1613.537868,145.6426928,0,1626.062506,232.4633884,1,1633.460932,1633.460932,286.5082298,0,1634.212483,296.1671173,0,highrisk,925,0
Greenboro East,10079.2052,16.7671951,10082.47497,17.85275942,0,10062.43643,23.95046186,0,10054.45083,10054.45083,23.27327508,0,10038.62527,16.73535922,0,safe,926,0
Hawthorne Meadows - Sheffield Glen,7166.783093,31.81343666,7189.826126,22.94909461,0,7172.067974,23.28477653,0,7189.449001,7189.449001,29.48765614,0,7199.926027,33.61145644,0,safe,45,0
