2015population,2015crimerate,2016population,2016crimerate,2016brightness,2017population,2017crimerate,2017brightness,2018_POP_EST,2018population,2018crimerate,2018brightness,2019population,2019crimerate,2019brightness,target,community
9588.82,43.07,9563.85,42.87,0,9591,57.66,2,9595.79,9595.79,60.76,1,9587.42,59.35,0,2,901
7309.45,24.49,7324.91,29.62,1,7313.85,33.5,1,7293.08,7293.08,29.62,3,7330.45,29.33,1,1,3
7075.24,14.84,7025.4,10.53,0,6985.92,8.73,0,6953.04,6953.04,12.08,0,6921.34,12.43,0,1,902
5263.56,32.87,5204.83,36.31,22,5167.92,24.96,337,5150.2,5150.2,34.17,89,5144.34,57.34,20,2,5
4483.41,21.64,4437.7,30.2,5,4415,30.35,32,4400.43,4400.43,36.36,3,4396.6,29.57,8,1,6
12839.4,34.66,12879.63,37.04,0,12937.85,46.38,391,12987.33,12987.33,55.21,19,13054.2,46.12,50,2,7
8904.72,20.89,8979.02,14.92,0,8979.03,16.59,0,8989.01,8989.01,15.69,0,8991.82,18.35,4,1,903
8341.25,22.06,8294.36,23.51,0,8539.04,20.61,0,8522.3,8522.3,24.17,0,8725.44,25.44,0,1,904
7095.26,17.9,7069.68,20.93,0,7079.21,19.63,0,7087.63,7087.63,22.01,0,7090.58,25.24,0,1,905
4554.98,11.2,4502.43,16.88,0,4469.19,15.89,0,4450.41,4450.41,19.77,0,4446.27,19.34,0,1,11
24078.35,10.34,24282.85,13.88,0,25497.72,8.98,2,25403.75,25403.75,9.37,0,25309.07,10.98,0,1,12
6614.59,45.81,6594.82,43.97,0,6600.08,41.21,0,6595.63,6595.63,49.12,0,6597.71,51.38,0,3,13
13353.62,14.15,13269.03,11.83,0,13207.75,12.72,0,13147.22,13147.22,19.24,0,13086.32,15.59,0,1,906
6924.77,240.01,6897.09,250.83,0,6905.67,298.02,0,6910.66,6910.66,280.44,0,6843.35,298.98,0,4,907
10104.92,13.26,10243.22,13.77,2,10392.35,12.61,0,10586.06,10586.06,15.59,0,10858.38,14.09,0,1,908
7729.22,26.91,7699.03,48.45,3,7709.36,23.48,7,7717.95,7717.95,21.64,2,7737.42,37.74,5,2,909
1348.14,166.9,1343.99,170.39,0,1349.81,127.43,0,1348.97,1348.97,175.69,0,1339.29,165.76,0,4,16
12538.8,36.77,12516.27,52.97,0,12511.46,46.04,5,12561.12,12561.12,43.07,1,12566.98,45.36,0,2,17
9563.34,26.87,9546.38,32.26,0,9564.93,34.61,0,9605.01,9605.01,37.69,0,9602.52,52.8,0,3,18
6458.85,13.47,6484.71,15.11,0,6540.4,13.15,18,6581.5,6581.5,15.95,5,6792.09,13.69,6,1,910
12545.16,36.27,12887.71,40.27,1,12865.27,51.3,16,12826.76,12826.76,45.92,8,13212.18,56.54,7,3,911
7936.54,17.39,7859.25,17.94,0,7809.24,18.31,0,7776.19,7776.19,19.93,0,7764.5,23.83,0,1,912
30774.28,123.67,31403.12,128.3,0,31889.84,139.7,2,31799.18,31799.18,184.38,0,32110.29,202.49,0,4,23
10367.18,10.13,10294.39,13.41,0,10308.9,11.35,0,10248.62,10248.62,11.42,0,10197.51,14.71,0,1,24
9754.11,20.4,10236.66,22.08,10,10617.96,16.76,108,11065.7,11065.7,17.8,35,11779.98,22.24,44,1,913
10977.12,29.52,10985.07,33.59,0,11038.72,32.34,0,11095.68,11095.68,40.47,0,11078.83,46.85,0,2,75
4531.12,12.58,4505.58,13.32,0,4590.64,20.26,0,4557.62,4557.62,13.38,0,4780.99,13.8,1,1,914
10264.66,51.15,10476.6,63.76,0,10506.1,66.63,0,10520.44,10520.44,72.62,0,10572.99,82.76,0,3,76
10607.43,38.93,10577.18,53.61,0,10572.31,40.1,0,10565.54,10565.54,40.32,0,10579.03,44.81,0,2,31
2342.83,23.48,2332.27,24.44,0,2317.65,17.26,0,2315.7,2315.7,19,0,2306.06,12.58,0,1,28
