year,neighborhood,population,crimerate,brightness,severity
2016,Bayshore,9563.847363,42.86977661,0,less safe
2016,Beacon Hill South ,7324.908613,29.62494298,1,safe
2016,Beaverbrook,7025.402646,10.53320411,0,safe
2016,Bells Corners East,5204.833633,36.31239984,22,less safe
2016,Bells Corners West,4437.700093,30.19582153,5,safe
2016,Billings Bridge,12879.63037,37.03522432,0,less safe
2016,Blackburn Hamlet,8979.020799,14.92367631,0,safe
2016,Borden Farm,8294.355275,23.50996473,0,safe
2016,Braemar Park,7069.682067,20.93446333,0,safe
2016,Briar Green,4502.429913,16.87977414,0,safe
2016,Bridlewood,24282.85153,13.87810652,0,safe
2016,Britannia Village,6594.821116,43.97389935,0,risk
2016,Brookside,13269.02621,11.83206646,0,safe
2016,Byward Market,6897.089756,250.8304316,0,highrisk
2016,Cardinal Creek,10243.22303,13.76519866,2,safe
2016,Carleton Heights ,7699.033114,48.44764199,3,less safe
2016,Carleton University,1343.986683,170.388593,0,highrisk
2016,Carlington,12516.26986,52.97105348,0,less safe
2016,Carlingwood West ,9546.379046,32.26354186,0,risk
2016,Carp,6484.705179,15.1124835,0,safe
2016,Carson Grove,12887.71134,40.27092058,1,risk
2016,Centrepointe,7859.252468,17.94063756,0,safe
2016,Centretown,31403.11754,128.2993638,0,highrisk
2016,Chapel Hill North,10294.38776,13.40536254,0,safe
2016,Chapel Hill South,10236.66458,22.07750368,10,safe
2016,Chapman Mills,10985.06552,33.59106046,0,less safe
2016,Chatelaine Village,4505.576182,13.31683176,0,safe
2016,Cityview,10476.59696,63.7611624,0,risk
2016,Civic Hospital,10577.17807,53.60598035,0,less safe
2016,Constance Bay,2332.271566,24.43969254,0,safe
2016,Convent Glen,16000.34926,18.68709209,3,safe
2016,Corkery,3823.225384,6.277422226,0,safe
2016,Crystal Bay,4169.772435,13.42998949,0,safe
2016,Cumberland,4298.205176,10.236831,0,safe
2016,Dunrobin,6624.462263,8.604471992,0,safe
2016,East Industrial,5098.456711,108.0719189,10,highrisk
2016,Edwards,4115.917079,24.29592192,7,safe
2016,Elmvale,13108.51011,26.62392576,0,less safe
2016,Emerald Woods,5311.008932,20.71169554,0,safe
2016,Fallingbrook,18671.35536,15.3175811,9,safe
2016,Findlay Creek,8631.291426,11.58575178,4,safe
2016,Fitzroy,4308.180364,5.10656429,0,safe
2016,Glebe,13862.84639,44.43531888,0,risk
2016,Glen Cairn,11354.28275,31.88224284,27,safe
2016,Greely,10447.75793,14.64429029,0,safe
2016,Greenbelt,1613.537868,145.6426928,0,highrisk
2016,Greenboro East,10082.47497,17.85275942,0,safe
2016,Hawthorne Meadows,7189.826126,22.94909461,0,safe
2016,Hintonburg ,11346.82197,39.21802961,0,risk
2016,Hunt Club,2948.134744,50.54043079,0,risk
2016,Hunt Club East,11052.41218,20.35754696,0,safe
2016,Hunt Club Park,8349.194915,12.57606285,0,safe
2016,Hunt Club South Industrial,1121.304563,115.0445689,0,highrisk
2016,Hunt Club Upper,7812.964841,24.70253021,1,safe
2016,Hunt Club Woods ,6091.768288,22.65352086,0,less safe
2016,Iris ,6332.75889,36.16117461,0,less safe
2016,Island Park ,5751.368781,30.60141102,0,less safe
2016,Kanata Lakes,17096.82482,24.27351302,14,safe
